,song,duration,artist,genre,file
101,All Of Me,2:30,Duke Ellington featuring Johnny Hodges,Jazz,05 All Of Me.wav
102,Alone Together,6:52,Paul Desmond,Jazz,10 Alone Together.wav
103,Autumn Leaves,11:00,Cannonball Adderley,Jazz,01 Autumn Leaves.wav
104,Bouncing with Bud,3:05,Bud Powell,Jazz,01 Bouncing with Bud.wav
105,Brother Hubbard,6:35,Kenny Garrett,Jazz,05 Brother Hubbard.wav
106,Ceora,6:21,Lee Morgan,Jazz,03 Ceora.wav
107,Chinatown - Nicholas Payton,4:01,Nicholas Payton,Jazz,04 Chinatown - Nicholas Payton.wav
108,Choir,4:51,Dave Holland,Jazz,04 Choir.wav
109,Clean House,4:49,Orrin Evans,Jazz,02 Clean House.wav
110,Delphia,7:23,Freddie Hubbard,Jazz,02 Delphia.wav
111,Det Var en Lørdag Aften,3:42,Kenny Drew & Niels-Henning Ørsted Pedersen,Jazz,06 Det Var en Lørdag Aften.wav
112,Dig Dis,6:09,Hank Mobley,Jazz,03 Dig Dis.wav
113,Embraceable You,6:43,Jo Jones,Jazz,06 Embraceable You.wav
114,The Eye Of The Hurricane,3:36,"Christian McBride, Nicholas Payton & Mark Whitfield",Jazz,05 The Eye Of The Hurricane.wav
115,Five O'Clock Whistle,3:30,Ray Brown & John Clayton,Jazz,09 Five O'Clock Whistle.wav
116,Four By Five,6:37,McCoy Tyner,Jazz,03 Four By Five.wav
117,Four on Six,6:12,Wes Montgomery,Jazz,20 Four on Six.wav
118,Hammer Head,7:51,Art Blakey,Jazz,02 Hammer Head.wav
119,Have You Met Miss Jones?,5:12,Kenny Barron,Jazz,none
120,Highway Rider,7:46,Brad Mehldau,Jazz,1-04 Highway Rider.wav
121,Honeysuckle Rose,5:47,Lionel Hampton,Jazz,06 Honeysuckle Rose.wav
122,Invitation,3:37,Quincy Jones,Jazz,18 Invitation.wav
123,Jean Marie,7:43,Woody Shaw,Jazz,01 Jean Marie.wav
124,Lady Bird,4:44,Chet Baker,Jazz,01 Lady Bird.wav
125,Leroy and Lanisha,9:24,Kamasi Washington,Jazz,2-02 Leroy and Lanisha.wav
126,The Long Way Home,5:44,Joshua Redman,Jazz,03 The Long Way Home.wav
127,Memories Of You,3:44,Benny Goodman & His Band,Jazz,1-03 Memories Of You.wav
128,Moment's Notice,9:11,John Coltrane,Jazz,02 Moment's Notice.wav
129,Mr. Steepe,6:19,Branford Marsalis,Jazz,04 Mr. Steepe.wav
130,On A Slow Boat To China,4:00,Bill Charlap Trio,Jazz,07 On A Slow Boat To China.wav
131,One for Helen,5:51,Bill Evans,Jazz,08 One for Helen.wav
132,Poinciana,8:07,Ahmad Jamal,Jazz,24 Poinciana.wav
133,Rabat,7:45,Phronesis,Jazz,09 Rabat.wav
134,Remembrance,9:01,Yussef Kamaal,Jazz,03 Remembrance.wav
135,Rogue Convoy,7:06,Eleven Eyes,Jazz,09 Rogue Convoy.wav
136,Rosalie,5:48,Jeremy Pelt,Jazz,06 Rosalie.wav
137,Rowdy Rod,5:38,The Rodriguez Brothers,Jazz,01 Rowdy Rod.wav
138,Short Story,7:12,Joe Henderson,Jazz,04 Short Story.wav
139,So What,9:22,Miles Davis,Jazz,01 So What.wav
140,Soul on Soul,6:15,Dave Douglas,Jazz,03 Soul on Soul.wav
141,Stable Mates,6:04,Vincent Herring,Jazz,04 Stable Mates.wav
142,Strasbourg/St. Denis,4:41,Roy Hargrove Quintet,Jazz,none
143,Sudwest Funk,6:54,Donald Byrd,Jazz,10 Sudwest Funk.wav
144,Sunset at Sunset,3:32,Sacbe,Jazz,2-11 Sunset at Sunset.wav
145,Survival Of The Fittest,10:08,Herbie Hancock,Jazz,04 Survival Of The Fittest.wav
146,Take Five,5:24,Dave Brubeck,Jazz,01 Take Five.wav
147,Teach Me Tonight,5:07,Oscar Peterson,Jazz,05 Teach Me Tonight.wav
148,Wandering Wonder,5:46,Terence Blanchard,Jazz,05 Wandering Wonder.wav
149,Witch Hunt,8:11,Wayne Shorter,Jazz,01 Witch Hunt.wav
150,Alone,3:39,Heart,Rock,10 Alone Together.wav
151,Another One Bites The Dust,3:40,Queen,Rock,05 Another One Bites The Dust.wav
152,Ask The Lonely,3:55,Journey,Rock,07 Ask The Lonely.wav
153,Basket Case,3:02,Green Day,Rock,07 Basket Case.wav
154,Beast of Burden,3:29,The Rolling Stones,Rock,14 Beast of Burden.wav
155,Blue Blood,5:17,Foals,Rock,01 Blue Blood.wav
156,"Blue Morning, Blue Day",3:12,Foreigner,Rock,"07 Blue Morning, Blue Day.wav"
157,Bringin' On The Heartache,4:34,Def Leppard,Rock,1-16 Bringin' On The Heartache.wav
158,Can't Stop,4:29,Red Hot Chili Peppers,Rock,1-07 Can't Stop.wav
159,Come Together,4:20,The Beatles,Rock,01 Come Together.wav
160,Comfortably Numb,6:24,Pink Floyd,Rock,19 Comfortably Numb.wav
161,Day Tripper,3:48,Whitesnake,Rock,04 Day Tripper.wav
162,Dirty Work,3:09,Steely Dan,Rock,02 Dirty Work.wav
163,Elephant,3:31,Tame Impala,Rock,09 Elephant.wav
164,Everybody Wants Some!!,5:09,Van Halen,Rock,02 Everybody Wants Some!!.wav
165,Expo '86,4:11,Death Cab For Cutie,Rock,04 Expo '86.wav
166,Eye to Eye,4:05,Fates Warning,Rock,07 Eye to Eye.wav
167,Fell on Black Days,4:42,Soundgarden,Rock,03 Fell on Black Days.wav
168,Forever Man,3:12,Eric Clapton,Rock,22 Forever Man.wav
169,Girl You Have No Faith In Medicine,3:18,The White Stripes,Rock,none
170,High Enough,4:46,Damn Yankees,Rock,04 High Enough.wav
171,High Society,2:33,Bear Hands,Rock,04 High Society.wav
172,Hold On,3:46,Alabama Shakes,Rock,01 Hold On.wav
173,Hold the Line (Love Isn't Always on Time),3:56,Toto,Rock,none
174,I Bet You Look Good On The Dancefloor,2:54,Arctic Monkeys,Rock,none
175,I Cut Like a Buffalo,3:28,The Dead Weather,Rock,03 I Cut Like a Buffalo.wav
176,I Don't Care Anymore,5:06,Phil Collins,Rock,I Don't Care Anymore.wav
177,Jeremy,5:19,Pearl Jam,Rock,06 Jeremy.wav
178,Limelight,4:24,Rush,Rock,04 Limelight.wav
179,London Calling,3:22,The Clash,Rock,03 London Calling.wav
180,Monkey Gone to Heaven,2:56,Pixies,Rock,07 Monkey Gone to Heaven.wav
181,My Number,4:01,Foals,Rock,03 My Number.wav
182,No Smoke Without a Fire,4:28,Bad Company,Rock,No Smoke Without a Fire.wav
183,Positive Tension,3:55,Bloc Party,Rock,03 Positive Tension.wav
184,Pull Me Under (2007 Remix),8:14,Dream Theater,Rock,01 Pull Me Under (2007 Remix).wav
185,Purple Haze,2:51,Jimi Hendrix,Rock,1-01 Purple Haze.wav
186,Rebel Yell,4:47,Billy Idol,Rock,05 Rebel Yell.wav
187,The Red & The Black,4:28,Blue Öyster Cult,Rock,02 The Red & The Black.wav
188,Rock and Roll,3:41,Led Zeppelin,Rock,10 Rock and Roll.wav
189,Roundabout,8:36,Yes,Rock,01 Roundabout.wav
190,Saeglópur,7:39,Sigur Rós,Rock,06 Saeglópur.wav
191,Saved By a Waif,2:59,Alvvays,Rock,09 Saved By a Waif.wav
192,Smells Like Teen Spirit,5:02,Nirvana,Rock,01 Smells Like Teen Spirit.wav
193,Smoke On the Water,5:42,Deep Purple,Rock,05 Smoke On the Water.wav
194,Takin' a Ride (On Heavy Metal),4:59,Don Felder,Rock,Takin' a Ride (On Heavy Metal).wav
195,Thunderstruck,4:53,AC/DC,Rock,01 Thunderstruck.wav
196,Victim of Love,4:10,Eagles,Rock,04 Victim of Love.wav
197,Working for the Weekend,3:41,Loverboy,Rock,02 Working for the Weekend.wav
198,Would?,3:28,Alice In Chains,Rock,none
199,Zombie,5:06,The Cranberries,Rock,Zombie.wav
